CLASS,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,ND2_1,ND2_7,ND2_8,ND2_8A,ND2_9,ND2_11,ND2_12,ND4_8,ND5_4,ND5_6,ND4_6,ND5_3,ND6_3,ND4_2,ND5_2,ND6_2,RGND,GBND,NDSI
0,6841,760,780,5812,5736,6752,6279,6011,5775,6232,5800,8152,-0.08132458705445349,0.0031932337964960733,-0.0348721355031551,0.0010334137099552187,-0.16757376109997135,0.768715763846622,0.7633495145631068,0.04004929143561306,-0.03629805847594198,0.021806346623270953,0.05805845020763144,0.04519350811485643,0.02341023239976164,0.07481693728112067,0.038623769746092135,0.01683159942484987,0.08135810377962845,-0.0065812261863526155,0.7660098522167488
0,7138,579,591,9440,9568,9744,9969,9922,9368,9512,9115,8300,0.13885872843527566,0.0038281582305401958,-0.003799071338117349,0.01751549447588251,0.06426155580608793,0.8844196027547659,0.882165287608414,0.012048192771084338,0.011413787855729721,0.0023628776833743903,-0.00905115427641615,0.020525157393663306,0.018163160595177013,0.0158465387823186,0.027255396980782113,0.02489412250800537,0.009113504556752278,0.006734006734006734,0.8858775992904306
0,8057,662,619,5192,5272,5596,8002,6900,7647,5396,6344,8923,-0.21624273530077742,-0.1912142690240673,-0.01926709482432943,-0.09986130374479889,-0.2643287283032235,0.7738298599248378,0.7869557735329548,0.018195050946142648,0.1769377849683777,0.07394980539524897,-0.10435339308578745,0.2056652101853247,0.1337495892211633,0.03744901742677049,0.21297559496740942,0.14125041349652662,0.02981229297018771,0.00764525993883792,0.7768790023592854
0,7054,752,762,7900,8224,8232,7919,8110,7674,8336,7072,8714,0.05657349204226294,0.014511365095672274,-0.02685390490268539,0.05530323270104195,-0.04899482364271097,0.8261673601479427,0.8240591087508659,-0.006277160791887977,-0.019379604978019938,-0.011915902426851331,0.007465426508383307,-0.018893638109397263,-0.006979306967062569,0.0205802132407637,0.0012010873000821796,0.01311680199875078,4.861448711716091e-4,0.02009426941205656,0.8324420677361853
0,9656,690,645,7220,7632,8016,10177,9041,9261,8344,8543,10914,-0.14434700165916095,-0.12383957284145379,-0.07221793883320483,-0.08393072384698344,-0.2037057461122753,0.8255372945638433,0.8359821996185632,-0.020048899755501223,0.1187819491013027,0.059111249869913625,-0.060092630591545994,0.14290527261496996,0.08450788700293889,0.05224468364400105,0.16997183422429155,0.11198573273476416,0.024539877300613498,0.02774037166711554,0.8341744772891132
0,7959,849,843,9192,9520,9808,9015,9159,8546,9392,8250,9519,0.07189085184537344,0.03641898748449656,-0.01076194575979337,0.054007567939456484,-0.017476350809684144,0.8308933373170003,0.8319880418535127,0.021666666666666667,-0.04212930988684057,-0.007923407065037967,0.03421732482733168,-0.02724575128135959,-0.019326516408801328,0.03242105263157895,-0.009721535673092767,-0.0017982671244073892,0.014900662251655629,0.017528858486532708,0.8362426463496963
0,9601,704,689,10144,9960,10480,10468,9897,9600,9824,9169,10243,0.027500633071663713,0.027552674230145867,0.016025641025641024,0.05048412986071558,-0.004856035709030264,0.8702064896755162,0.8727960860334164,0.03230890464933018,-5.728470498376934e-4,0.028038301006629022,0.028610688521372135,0.024867828470726452,-0.0031726846955733496,0.016291698991466253,0.01571899864156802,-0.012324734294695874,0.025440313111545987,-0.00915240748109829,0.867966991747937
0,7659,705,726,7904,7760,7884,9460,8946,8809,7860,8112,8841,0.01574246610550665,-0.054149464488721356,0.002791169753869576,-0.012987012987012988,-0.05595700209017617,0.8362179114879777,0.8317497103128622,0.001524390243902439,0.09086715867158672,0.02792567640986635,-0.06310160427807486,0.09872241579558652,0.07099245779959296,-0.001266784899923993,0.08961068878138678,0.06183976261127597,0.007926361544362055,-0.009193054136874362,0.8334317779090372
0,9656,615,615,10368,10656,10856,10189,9921,9760,10408,9024,10914,0.035557331202556934,0.030206677265500796,-0.0019252984212552945,0.06930693069306931,-0.025655483507189172,0.8880087407812073,0.8880087407812073,0.021068472535741158,-0.03169398907103825,0.013326703132769766,0.04500168455503682,-0.022403454065723194,-0.0357194926374107,0.022992838296268376,-0.008707496229994649,-0.02203164276208783,0.009297136481963555,0.0136986301369863,0.890870375299441
0,8512,643,628,8288,8544,8592,7773,7857,7239,8352,7521,9442,-0.013333333333333334,0.06755973465576093,-0.0038461538461538464,0.04851666772091846,-0.06508742244782854,0.8560071660508342,0.8591296545536115,0.014164305949008499,-0.05004582951420715,-0.005374280230326296,0.0446835673901149,-0.04725133296561868,-0.04188768977501372,0.01800947867298578,-0.03206525122968682,-0.026695571384329514,0.0028011204481792717,0.015209125475285171,0.8600195929030151
0,7189,800,807,7884,8104,8520,8645,8612,8074,8060,7492,8991,0.04610893650898958,-0.011906253916530893,-0.011038635223281485,0.025494276795005204,-0.0656,0.8157531091662829,0.81429064549534,0.027744270205066344,0.007282260413632392,0.001912267485657994,-0.005370067709549381,0.032300435846916234,0.03039004546542235,0.038771031455742504,0.04604029281868231,0.04413191076624636,0.025024061597690085,0.013760320240180136,0.8203054806828391
0,7550,934,814,9480,9456,10048,9238,8873,8618,10048,8323,9418,0.11332941867293013,0.04762957232843408,-0.029086439983613273,0.064989046789866875,0.003280770451899672,0.8206260802765508,0.8418496211385273,0,-0.04199937778699575,0.020153497874220088,0.06210031182284234,-0.011661495667058949,-0.03180751814065143,0.029086439983613273,-0.012928731702104925,-0.03307361194355146,0.030352748154224774,-0.0012674271229404308,0.8202117420596727
0,7550,1162,1016,8376,8536,9512,8421,8515,8543,9416,7657,9418,0.05186487504709281,-0.009870559725752112,-0.05845323741007194,0.04484500717270629,-0.058559064853321345,0.7563430488572027,0.7836456558773425,0.00507185122569738,-0.06083756203646908,-0.005550307038261691,0.055305929993898044,-0.006781859998820546,-0.001231599319687995,0.06350626118067978,0.002679049830326844,0.00822923450358179,0.054078014184397165,0.00946073793755913,0.7603629614353475
0,5538,757,778,7948,8112,8148,9623,8645,8969,8568,8084,7172,0.17870384102031736,-0.060353490571614356,-0.037539355776217004,-0.008483033932135729,0.051322751322751325,0.8260769672601953,0.8216823286729315,-0.02512562814070352,0.08300039390017444,0.05353623823078607,-0.029595664860358483,0.08519875951508317,0.03180760279286268,0.01242544731610338,0.09532752831369871,0.04200566503947448,0.002214022140221402,0.01021170610211706,0.8292930431841244
